benchmark,benchmark id,solver,configuration,configuration id,status,cpu time,result, checker status, checker cpu time, checker memory, checker result
sat/sc16craft_ecgrid6x185_shuffled.cnf,2888793,GHackCOMSPS_DRUP,ghack_drup,153211,complete,3495.6,UNSAT,complete,1782.74,5079084.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x185_shuffled.cnf,2888793,glucosePLE,default,153967,timeout (wallclock),5000.01,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x185_shuffled.cnf,2888793,abcdSAT_drup,default,154067,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x185_shuffled.cnf,2888793,glucose_hack_kiel_newScript,main_new,154744,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x185_shuffled.cnf,2888793,Beans And Eggs,default,154732,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x185_shuffled.cnf,2888793,cmsat5_main2,default,154241,timeout (cpu),4999.82,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x185_shuffled.cnf,2888793,cmsat5_autotune2,default,154243,timeout (cpu),4999.92,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x185_shuffled.cnf,2888793,gulch,default,154330,timeout (wallclock),5000.01,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x185_shuffled.cnf,2888793,YalSAT 03r,default,154460,timeout (cpu),4997.11,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x185_shuffled.cnf,2888793,Lingeling bbc main,default,154468,complete,2953.4,UNSAT,complete,2612.6,3325852.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x185_shuffled.cnf,2888793,glucose,default,154473,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x185_shuffled.cnf,2888793,CHBR_glucose,default,154584,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
