pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result
212247042,RandomSat/unif-k5-r17.6-v250000-c4400000-S6187989636849774117.cnf.bz2,2846091,YalSAT 03r,7211,default,154456,complete,54.6437,52.1345,261912.0,SAT-VERIFIED
212247043,RandomSat/unif-k5-r17.8-v250000-c4450000-S1001455533414572164.cnf.bz2,2846092,YalSAT 03r,7211,default,154456,complete,61.0277,58.4802,264696.0,SAT-VERIFIED
212247044,RandomSat/unif-k5-r18.0-v250000-c4500000-S2134106477724874991.cnf.bz2,2846093,YalSAT 03r,7211,default,154456,complete,95.7313,93.1345,267480.0,SAT-VERIFIED
212247045,RandomSat/unif-k5-r18.2-v250000-c4550000-S3421533231314978951.cnf.bz2,2846094,YalSAT 03r,7211,default,154456,timeout (cpu),5000.34,4997.1,270268.0,UNKNOWN
212247046,RandomSat/unif-k5-r18.4-v250000-c4600000-S5794866160901882896.cnf.bz2,2846095,YalSAT 03r,7211,default,154456,timeout (cpu),5000.4,4997.23,273056.0,UNKNOWN
212247047,RandomSat/unif-k5-r18.6-v250000-c4650000-S7370842117265080335.cnf.bz2,2846096,YalSAT 03r,7211,default,154456,timeout (cpu),5000.42,4996.92,275840.0,UNKNOWN
212247048,RandomSat/unif-k5-r18.8-v250000-c4700000-S2449314666127465131.cnf.bz2,2846097,YalSAT 03r,7211,default,154456,timeout (cpu),5000.36,4998.19,278612.0,UNKNOWN
212247049,RandomSat/unif-k5-r19.0-v250000-c4750000-S8409849812357872506.cnf.bz2,2846098,YalSAT 03r,7211,default,154456,timeout (cpu),5000.34,4996.4,281396.0,UNKNOWN
212247050,RandomSat/unif-k5-r19.2-v250000-c4800000-S6335138427664687389.cnf.bz2,2846099,YalSAT 03r,7211,default,154456,timeout (cpu),5000.39,4997.09,284180.0,UNKNOWN
212247051,RandomSat/unif-k5-r19.4-v250000-c4850000-S7533133714789641469.cnf.bz2,2846100,YalSAT 03r,7211,default,154456,timeout (cpu),5000.44,4996.91,286964.0,UNKNOWN
212247052,RandomSat/unif-k5-r19.6-v250000-c4900000-S7380743748186036839.cnf.bz2,2846101,YalSAT 03r,7211,default,154456,timeout (cpu),5000.36,4997.07,289752.0,UNKNOWN
212247053,RandomSat/unif-k5-r19.8-v250000-c4950000-S1939181244024256976.cnf.bz2,2846102,YalSAT 03r,7211,default,154456,timeout (cpu),5000.35,4996.94,292524.0,UNKNOWN
212247054,RandomSat/unif-k5-r21.117-v200-c4223-S4002140054644802477.cnf.bz2,2846103,YalSAT 03r,7211,default,154456,complete,0.163282,0.162035,7652.0,SAT-VERIFIED
212247055,RandomSat/unif-k5-r21.117-v210-c4435-S4127276652013243201.cnf.bz2,2846104,YalSAT 03r,7211,default,154456,complete,1.25774,1.25552,7664.0,SAT-VERIFIED
212247056,RandomSat/unif-k5-r21.117-v220-c4646-S8880173106084916574.cnf.bz2,2846105,YalSAT 03r,7211,default,154456,complete,0.62204,0.620317,7672.0,SAT-VERIFIED
212247057,RandomSat/unif-k5-r21.117-v230-c4857-S5466032506449778945.cnf.bz2,2846106,YalSAT 03r,7211,default,154456,complete,8.03931,8.03375,7728.0,SAT-VERIFIED
212247058,RandomSat/unif-k5-r21.117-v240-c5068-S2186511053839131430.cnf.bz2,2846107,YalSAT 03r,7211,default,154456,timeout (cpu),5000.09,4997.22,7740.0,UNKNOWN
212247059,RandomSat/unif-k5-r21.117-v250-c5279-S6329896642998422222.cnf.bz2,2846108,YalSAT 03r,7211,default,154456,complete,27.4084,27.391,7728.0,SAT-VERIFIED
212247060,RandomSat/unif-k5-r21.117-v260-c5490-S861034176720083785.cnf.bz2,2846109,YalSAT 03r,7211,default,154456,complete,31.7332,31.7154,7716.0,SAT-VERIFIED
212247061,RandomSat/unif-k5-r21.117-v270-c5702-S8450464119166526914.cnf.bz2,2846110,YalSAT 03r,7211,default,154456,timeout (cpu),5000.08,4997.22,7728.0,UNKNOWN
212247062,RandomSat/unif-k5-r21.117-v280-c5913-S221778839601556991.cnf.bz2,2846111,YalSAT 03r,7211,default,154456,timeout (cpu),5000.11,4997.21,7736.0,UNKNOWN
212247063,RandomSat/unif-k5-r21.117-v290-c6124-S9098100223662516520.cnf.bz2,2846112,YalSAT 03r,7211,default,154456,timeout (cpu),5000.13,4997.22,7744.0,UNKNOWN
212247064,RandomSat/unif-k5-r21.117-v300-c6335-S6322267711209357142.cnf.bz2,2846113,YalSAT 03r,7211,default,154456,complete,639.118,638.749,7756.0,SAT-VERIFIED
212247065,RandomSat/unif-k5-r21.117-v310-c6546-S8728658876828088784.cnf.bz2,2846114,YalSAT 03r,7211,default,154456,timeout (cpu),5000.03,4997.11,7740.0,UNKNOWN
212247066,RandomSat/unif-k5-r21.117-v320-c6757-S4805931756360052694.cnf.bz2,2846115,YalSAT 03r,7211,default,154456,complete,322.458,322.267,7748.0,SAT-VERIFIED
